
Opening Error Output File (MD2ERROR.TXT) on Thu Jan 09 16:46:56.330, 2003


columns = 40, rows = 40
col_vstep = 102.564102, row_vstep = 102.564102
col_tstep=6.538462, row_tstep=6.538462
num_vertices = 1600, num_polys = 3042
Vertex 116: V[1692.307617, 0.000000, -1794.871826], T[235.384613, 13.076923]
Vertex 117: V[1794.871826, 0.000000, -1794.871826], T[241.923080, 13.076923]
Vertex 118: V[1897.435913, 0.000000, -1794.871826], T[248.461548, 13.076923]
Vertex 119: V[2000.000000, 0.000000, -1794.871826], T[255.000000, 13.076923]
Vertex 120: V[-2000.000000, 27.450981, -1692.307739], T[0.000000, 19.615385]
Vertex 121: V[-1897.435913, 46.666668, -1692.307739], T[6.538462, 19.615385]
Vertex 122: V[-1794.871826, 65.882355, -1692.307739], T[13.076923, 19.615385]
Vertex 123: V[-1692.307739, 60.392162, -1692.307739], T[19.615385, 19.615385]
Vertex 124: V[-1589.743652, 41.176472, -1692.307739], T[26.153847, 19.615385]
Vertex 125: V[-1487.179443, 19.215687, -1692.307739], T[32.692307, 19.615385]
Vertex 126: V[-1384.615356, 10.980392, -1692.307739], T[39.230770, 19.615385]
Vertex 127: V[-1282.051270, 5.490196, -1692.307739], T[45.769234, 19.615385]
Vertex 128: V[-1179.487183, 2.745098, -1692.307739], T[52.307693, 19.615385]
Vertex 129: V[-1076.923096, 2.745098, -1692.307739], T[58.846153, 19.615385]
Vertex 130: V[-974.359009, 13.725491, -1692.307739], T[65.384613, 19.615385]
Vertex 131: V[-871.794861, 32.941177, -1692.307739], T[71.923080, 19.615385]
Vertex 132: V[-769.230774, 46.666668, -1692.307739], T[78.461540, 19.615385]
Vertex 133: V[-666.666687, 43.921570, -1692.307739], T[85.000000, 19.615385]
Vertex 134: V[-564.102539, 27.450981, -1692.307739], T[91.538467, 19.615385]
Vertex 135: V[-461.538452, 8.235294, -1692.307739], T[98.076927, 19.615385]
Vertex 136: V[-358.974365, 0.000000, -1692.307739], T[104.615387, 19.615385]
Vertex 137: V[-256.410278, 0.000000, -1692.307739], T[111.153847, 19.615385]
Vertex 138: V[-153.846161, 2.745098, -1692.307739], T[117.692307, 19.615385]
Vertex 139: V[-51.282059, 21.960785, -1692.307739], T[124.230774, 19.615385]
Vertex 140: V[51.282043, 54.901962, -1692.307739], T[130.769226, 19.615385]
Vertex 141: V[153.846146, 87.843140, -1692.307739], T[137.307693, 19.615385]
Vertex 142: V[256.410248, 90.588242, -1692.307739], T[143.846161, 19.615385]
Vertex 143: V[358.974365, 63.137260, -1692.307739], T[150.384613, 19.615385]
Vertex 144: V[461.538452, 27.450981, -1692.307739], T[156.923080, 19.615385]
Vertex 145: V[564.102539, 5.490196, -1692.307739], T[163.461548, 19.615385]
Vertex 146: V[666.666626, 0.000000, -1692.307739], T[170.000000, 19.615385]
Vertex 147: V[769.230774, 8.235294, -1692.307739], T[176.538467, 19.615385]
Vertex 148: V[871.794861, 30.196081, -1692.307739], T[183.076935, 19.615385]
Vertex 149: V[974.358948, 60.392162, -1692.307739], T[189.615387, 19.615385]
Vertex 150: V[1076.923096, 79.607849, -1692.307739], T[196.153854, 19.615385]
Vertex 151: V[1179.487183, 65.882355, -1692.307739], T[202.692307, 19.615385]
Vertex 152: V[1282.051270, 38.431374, -1692.307739], T[209.230774, 19.615385]
Vertex 153: V[1384.615356, 10.980392, -1692.307739], T[215.769241, 19.615385]
Vertex 154: V[1487.179443, 0.000000, -1692.307739], T[222.307693, 19.615385]
Vertex 155: V[1589.743530, 0.000000, -1692.307739], T[228.846161, 19.615385]
Vertex 156: V[1692.307617, 0.000000, -1692.307739], T[235.384613, 19.615385]
